ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,filesize,Layer_Order
e2ae8bc47517691c02bb8e9ad2c5c097,chewing_gum.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/chewing_gum.png,,13263220,
98bb7e8252ef58996e773390cd47afad,Sorbischer_Sprachatlas_Karte9.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/SorbischerSprachatlas/Sorbischer_Sprachatlas_Karte9.jpg,,501405,
37e02854909b2d9b2d81516883d6b3f1,lainperu.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/zenyu/lainperu.png,,171699,
906464ac00af9fbee7b2c0e71273846d,pachcon.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/zenyu/pachcon.png,,173623,
5414e6ad3d9468abb5e8604af0c2437c,Incaex.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/zenyu/Incaex.png,,177646,
82e77a0b3197b0910f3e6e30a5fa0697,tupain.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/zenyu/tupain.png,,178189,
336737_geojson,336737.geojson,Inca Expansion,application/geo+json,file:/geojson.zip,336737.geojson,,0
336790_geojson,336790.geojson,Major Cultures in the Late Intermediate Period in Peru,application/geo+json,file:/geojson.zip,336790.geojson,,1
313641_geojson,313641.geojson,Malayo-Polynesian Subgroup,application/geo+json,file:/geojson.zip,313641.geojson,,0
313584_geojson,313584.geojson,Malayo-Polynesian Mixed Areas,application/geo+json,file:/geojson.zip,313584.geojson,,1
313484_geojson,313484.geojson,Spanish Based Creole Languages,application/geo+json,file:/geojson.zip,313484.geojson,,2
313406_geojson,313406.geojson,Lingua Francas,application/geo+json,file:/geojson.zip,313406.geojson,,3
64f73d32907bd0252b669626134418b8,Breton031.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/BretonIndia/Breton031.jpg,,1586952,
333666_geojson,333666.geojson,Adamawa-Ubangi Languages,application/geo+json,file:/geojson.zip,333666.geojson,,0
336705_geojson,336705.geojson,African Language Isolates,application/geo+json,file:/geojson.zip,336705.geojson,,0
336682_geojson,336682.geojson,African Pidgins and Creoles,application/geo+json,file:/geojson.zip,336682.geojson,,0
352269_geojson,352269.geojson,Benue Congo Languages,application/geo+json,file:/geojson.zip,352269.geojson,,0
335614_geojson,335614.geojson,Dogon,application/geo+json,file:/geojson.zip,335614.geojson,,0
336151_geojson,336151.geojson,Dogon Dialects?,application/geo+json,file:/geojson.zip,336151.geojson,,1
332707_geojson,332707.geojson,Eastern Mande Languages,application/geo+json,file:/geojson.zip,332707.geojson,,0
336618_geojson,336618.geojson,Languages Enclaves,application/geo+json,file:/geojson.zip,336618.geojson,,1
332621_geojson,332621.geojson,Kru Languages,application/geo+json,file:/geojson.zip,332621.geojson,,0
336597_geojson,336597.geojson,Language Enclaves,application/geo+json,file:/geojson.zip,336597.geojson,,1
072746867d67d2f5aeb51eb7c0198911,Tasman-Language.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/TasmanLang/Tasman-Language.jpg,,141657,
331566_geojson,331566.geojson,boundary2,application/geo+json,file:/geojson.zip,331566.geojson,,0
331586_geojson,331586.geojson,boundary,application/geo+json,file:/geojson.zip,331586.geojson,,1
331606_geojson,331606.geojson,label,application/geo+json,file:/geojson.zip,331606.geojson,,2
331627_geojson,331627.geojson,Language Areas,application/geo+json,file:/geojson.zip,331627.geojson,,3
f01a1ebeda94e6b3767e3fa98b39c8a1,map36.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/HistoricalAtlasMiddleEast/map36.png,,6582262,
322850_geojson,322850.geojson,"Maximum extent of Fatimid power, 10th century",application/geo+json,file:/geojson.zip,322850.geojson,,0
322767_geojson,322767.geojson,Zirids (972-1148),application/geo+json,file:/geojson.zip,322767.geojson,,1
322796_geojson,322796.geojson,Hammudids (1015-1152)1,application/geo+json,file:/geojson.zip,322796.geojson,,2
322987_geojson,322987.geojson,Trade routes,application/geo+json,file:/geojson.zip,322987.geojson,,3
333072_geojson,333072.geojson,Cities taken by Fatimids,application/geo+json,file:/geojson.zip,333072.geojson,,4
333113_geojson,333113.geojson,Cities founded by Fatimids,application/geo+json,file:/geojson.zip,333113.geojson,,5
da6d68222a24c60d23ca603494581e56,The People of East Asia 4_bottom.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/The_People_of_East_Asia_Southern/The%20People%20of%20East%20Asia%204_bottom.png,,336147,
335961_geojson,335961.geojson,Original territory of Tibeto-Burmans,application/geo+json,file:/geojson.zip,335961.geojson,,0
332355_geojson,332355.geojson,Tibeto-Burmans label lines,application/geo+json,file:/geojson.zip,332355.geojson,,1
336007_geojson,336007.geojson,Tibeto-Burman Routes,application/geo+json,file:/geojson.zip,336007.geojson,,2
007f6f5e3d126b21430ef7ebd3576eca,map7.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/HistoricalAtlasMiddleEast/map7.png,,10546992,
321324_geojson,321324.geojson,Phoenician area 201 BCE,application/geo+json,file:/geojson.zip,321324.geojson,,0
321346_geojson,321346.geojson,Roman area after conquest of Numidia 46 BCE,application/geo+json,file:/geojson.zip,321346.geojson,,1
321304_geojson,321304.geojson,Settlements & ports used by the Phoenicians,application/geo+json,file:/geojson.zip,321304.geojson,,2
91afe17f36ac22bc31654f62c0835126,Ehret010.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Ehret010/Ehret010.jpg,,394194,
332584_geojson,332584.geojson,Date of Transmission of Ironworking,application/geo+json,file:/geojson.zip,332584.geojson,,0
de8a491166b9178504f8568565a96bac,AncientPueblo.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/AncientPueblo/AncientPueblo.png,,120690,
339158_geojson,339158.geojson,"Ancient Pueblo: Anasazi, Hohokam and Mogollon Distribution",application/geo+json,file:/geojson.zip,339158.geojson,,0
217586_geojson,217586.geojson,Totonakan Contemporary Meso-America,application/geo+json,file:/geojson.zip,217586.geojson,,0
744f6fa9e81200d5a0140e6572d0422b,atlas001.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/SiberianGrps17th/atlas001.png,,33299464,
84f0f75fc728aa7abe4b214c81ea7ab6,barrel.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/barrel.png,,13507980,
318872_geojson,318872.geojson,Central-Eastern Oceanic Subgroup,application/geo+json,file:/geojson.zip,318872.geojson,,0
318890_geojson,318890.geojson,Polynesian Subgroup,application/geo+json,file:/geojson.zip,318890.geojson,,1
318908_geojson,318908.geojson,Island Locations,application/geo+json,file:/geojson.zip,318908.geojson,,2
318912_geojson,318912.geojson,Labels,application/geo+json,file:/geojson.zip,318912.geojson,,3
db86bc116fb32541e68bc155934cefef,being_happy.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/being_happy.png,,25935622,
d411f800eee13ba5c34aa09f60bb442e,bone.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/bone.png,,13507980,
b79e2a76fc049fc225d4c3a19eaf7498,coat.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/coat.png,,13563047,
1c49c9b4f6958ef1eaa410727de37cbd,conversing.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/conversing.png,,13948541,
07e02ebf4639a36203271f6420f6f4fa,cottonwood_balsam_poplar.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/cottonwood_balsam_poplar.png,,13312174,
74be8d19b621b3d5cb4c060680c01a4a,crane.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/crane.png,,13269338,
eeadc85550fae92d2e312f3fbaa81897,day_after_tomorrow.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/day_after_tomorrow.png,,12969511,
f29fe40796a6e87fa4ce6ddcf85e4442,dont_go_out_now.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/dont_go_out_now.png,,13361123,
5503e6d54c041da168acd89df890ae7f,helping_him.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/helping_him.png,,27306264,
e285efc59cd2446574efa58594612ec5,it_is_small.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/it_is_small.png,,13361123,
ae37289cc0a11ae62ae551ff5ef66c14,picking_berries.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/picking_berries.png,,27306264,
fc7847aeea1f421a2f5b40705be30037,cooking_it.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/cooking_it.png,,13660950,
2650ed19f3ff9b3519802af2cbbb7e7d,story_knife.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/story_knife.png,,26731082,
3f73a20f4158d35d96490bc658c39c67,rajasthani.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/LinguisticSurveyIndia/rajasthani.jpg,,16323395,
2006912a774e5ebb661695397bee1fc5,tasting_it.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/tasting_it.png,,27012555,
395ded9e828df0b22153c20fb8db172d,without_seeing_it.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/without_seeing_it.png,,27404167,
a15555b8744bc96320b5d1e99d85a01b,Early_Indian_Languages_Alaska.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/SturtevantPolar/Early_Indian_Languages_Alaska.jpg,,942444,
342055_geojson,342055.geojson,Major Ethnic Groups,application/geo+json,file:/geojson.zip,342055.geojson,,0
9d2d3833c9df06124930cbc36c5444a0,Assamese.JPG,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/LinguisticSurveyIndia/Assamese.JPG,,10379239,
340237_geojson,340237.geojson,Linguistic Survey of India - Assamese - Polygons,application/geo+json,file:/geojson.zip,340237.geojson,,0
340260_geojson,340260.geojson,Linguistic Survey of India - Assamese - Lines,application/geo+json,file:/geojson.zip,340260.geojson,,1
0ca1cfa2a38fb9962231bc53d214aff2,atlas010.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Sakhalin/atlas010.png,,37293908,
348887_geojson,348887.geojson,Sakhalin,application/geo+json,file:/geojson.zip,348887.geojson,,0
348934_geojson,348934.geojson,Sakhalin-l,application/geo+json,file:/geojson.zip,348934.geojson,,1
8c31928d622ae6ff8f3aec49d20d301f,siberia.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Siberia/siberia.png,,415293,
349286_geojson,349286.geojson,Turkic,application/geo+json,file:/geojson.zip,349286.geojson,,7
349069_geojson,349069.geojson,Chukchee,application/geo+json,file:/geojson.zip,349069.geojson,,0
349103_geojson,349103.geojson,Eskimo-Aleutic,application/geo+json,file:/geojson.zip,349103.geojson,,1
349138_geojson,349138.geojson,Mongolian,application/geo+json,file:/geojson.zip,349138.geojson,,2
349172_geojson,349172.geojson,Ob-Ugric,application/geo+json,file:/geojson.zip,349172.geojson,,3
349194_geojson,349194.geojson,Other Paleoasiatic,application/geo+json,file:/geojson.zip,349194.geojson,,4
349229_geojson,349229.geojson,Samoyedic,application/geo+json,file:/geojson.zip,349229.geojson,,5
349250_geojson,349250.geojson,Tungusic,application/geo+json,file:/geojson.zip,349250.geojson,,6
349333_geojson,349333.geojson,Yenissey,application/geo+json,file:/geojson.zip,349333.geojson,,8
0a7488ceac1e036d03213dde91a573c2,SouthernMinorityLangs.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/LanguageAtlasChina/SouthernMinorityLangs.jpg,,1925736,
345147_geojson,345147.geojson,Turkic Languages,application/geo+json,file:/geojson.zip,345147.geojson,,0
345123_geojson,345123.geojson,Tibeto-Burman Languages,application/geo+json,file:/geojson.zip,345123.geojson,,1
345100_geojson,345100.geojson,Mongolian Languages,application/geo+json,file:/geojson.zip,345100.geojson,,2
345253_geojson,345253.geojson,Miao-Yao Languages,application/geo+json,file:/geojson.zip,345253.geojson,,3
345052_geojson,345052.geojson,Kam-Tai Languages,application/geo+json,file:/geojson.zip,345052.geojson,,4
345029_geojson,345029.geojson,Austronesian Languages,application/geo+json,file:/geojson.zip,345029.geojson,,5
344981_geojson,344981.geojson,Austro-Asiatic Languages,application/geo+json,file:/geojson.zip,344981.geojson,,6
6479b8f84e8db05fb05af7d89cdaa283,Breton042.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/BretonIndia/Breton042.jpg,,1423354,
352339_geojson,352339.geojson,Dravidian Languages,application/geo+json,file:/geojson.zip,352339.geojson,,0
352360_geojson,352360.geojson,Indo-Aryan Languages,application/geo+json,file:/geojson.zip,352360.geojson,,1
352381_geojson,352381.geojson,Asian Pidgin and Creoles,application/geo+json,file:/geojson.zip,352381.geojson,,2
352402_geojson,352402.geojson,Island Locations (with Language Names),application/geo+json,file:/geojson.zip,352402.geojson,,3
fb4f79e91397970b755808e39c03665a,Breton002.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/BretonIndia/Breton002.jpg,,1701891,
352051_geojson,352051.geojson,"Pushto, Baluchi & Brahui Language Locations",application/geo+json,file:/geojson.zip,352051.geojson,,0
1d1d50742d8ee67e1bd3a6c4335633c2,turklane.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/TurkicLangs/turklane.png,,1876341,
349728_geojson,349728.geojson,Bolgar A.O.,application/geo+json,file:/geojson.zip,349728.geojson,,0
349819_geojson,349819.geojson,Karluk Languages,application/geo+json,file:/geojson.zip,349819.geojson,,1
349873_geojson,349873.geojson,Kipchak Languages,application/geo+json,file:/geojson.zip,349873.geojson,,2
349931_geojson,349931.geojson,North East Turkic Languages,application/geo+json,file:/geojson.zip,349931.geojson,,3
351117_geojson,351117.geojson,North Turkic Languages,application/geo+json,file:/geojson.zip,351117.geojson,,4
351192_geojson,351192.geojson,Oghuz Languages,application/geo+json,file:/geojson.zip,351192.geojson,,5
3fc8082170a2902e7e1db7f9dccf0332,IranEthnoRel.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/IranEthnoRel/IranEthnoRel.jpg,,382309,
345881_geojson,345881.geojson,Ethnoreligious Distribution,application/geo+json,file:/geojson.zip,345881.geojson,,0
9a6e5199c6f4c12e0b9eb8a93fc0b3a7,atlas002.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/SiberianGrps20th/atlas002.png,,34189085,
349666_geojson,349666.geojson,Siberian Ethnic Groups,application/geo+json,file:/geojson.zip,349666.geojson,,0
349705_geojson,349705.geojson,Siberian Languages,application/geo+json,file:/geojson.zip,349705.geojson,,1
b747b743348c9c5d6c1b9006d4f8201a,sam3.tif,,image/tiff,/home/robert/projects/ll/LL-map/raw/maps/Sam/sam3.tif,,6734836,
246df0636cb3b6ed4fb83459bc614607,sam3.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Sam/sam3.png,,793583,
b52599bedbc56ac4d920c0b6398772c5,sam2.tif,,image/tiff,/home/robert/projects/ll/LL-map/raw/maps/Sam/sam2.tif,,8603288,
788a16e87d8c31bdaabdc1b6378b0d03,sam2.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Sam/sam2.png,,978140,
348763_geojson,348763.geojson,samarea,application/geo+json,file:/geojson.zip,348763.geojson,,0
348795_geojson,348795.geojson,samarea1,application/geo+json,file:/geojson.zip,348795.geojson,,1
348829_geojson,348829.geojson,samline,application/geo+json,file:/geojson.zip,348829.geojson,,2
8fdcb47c13287e264f7d3f80476f5601,Persian.PNG,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Persian/Persian.PNG,,141375,
346112_geojson,346112.geojson,Persian Language Distribution,application/geo+json,file:/geojson.zip,346112.geojson,,0
8dba767ceae08f83bd6985a318766fab,elevated_cache.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/elevated_cache.png,,27122694,
0b336885294b29db4f7b9c6cc83f64d2,match.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/match.png,,27024791,
a017074a06e2390a0817c4d5dc870823,middle_finger.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/middle_finger.png,,25935622,
48549624b9f4e1256ba4976f2721f5f4,moon.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/moon.png,,13563047,
66a2d8737f84ac49ae304c95a0f53665,mosquito.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/mosquito.png,,13067414,
