ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
bxj,Baijungo,,,,bayu1240,
bxn,Bootena,,,,burd1238,
bym,Bidyara,,,,bidy1243,
bym-ngu,Gnoree,,,,,
bym-wdb,Wadjabangai,,,,,
bzr,Birri Gubba,,,,biri1256,
bzr-bar,Barada,,,,,
bzr-jan,Jangaa,,,,,
bzr-kab,Kabelbara,,,,,
bzr-kar,Karranbal,,,,,
bzr-wir,Wiri,,,,,
bzr-yam,Yambina,,,,,
dbl,Dyirbal,,,,dyir1250,
dbl-gir,Girramy,,,,,
dbl-gul,Gulnguy,,,,,
dbl-mam,Mamu,,,,,
dbl-nga,Ngadjan,,,,,
ddj,Jaroo,,,,jaru1254,
ddj-dja,Djaru,,,,,
ddj-nyi,Nyinin,,,,,
dhg-gaa,Gaalpu,,,,,
dhg-rir,Riraidjango,,,,,
dhg-wan,Wanʔguri,,,,,
dhl,Djalendi,,,,dhal1245,
dhr,Dal'gari,,,,dhar1247,
dhu,Dhurga,,,,dhur1239,
dhu-wal,Walbanga,,,,,
dhu-wan,Wandanian,,,,,
dif,Dayerrie,,,,dier1241,
djb,Djimba,,,,djin1252,
djd,Murinyuwan,,,,djam1255,
djd-nga,Ngaliwurru,,,,,
dji,Djinang,,,,djin1253,
djj,Djeebbana,,,,djee1236,
djl,Djiwarli,,,,djiw1240,
djn,Jawan,,,,djau1244,
djw,Djawi,,,,djaw1238,
drl,Paakantyi,,,,darl1243,
drl-kul,Gu:rnu,,,,,
drl-wil,Wilyaali,,,,,
drua,Drual Subgroup,,,,,
dyb,Dyaberdyaber,,,,dyab1238,
dyd,Jukun,,,,dyug1238,
dyn,Djan-Gadi,,,,dyan1250,
dyy,Dyaabugay,,,,dyaa1242,
gbb,Kaitidji,,,,kayt1238,
gbc,Garrwa,,,,garr1260,
gbc-wan,Wanyi,,,,,
gbd,Karadjeri,,,,kara1476,
gbu,Gagadju,,,,gaga1251,
gcd,Ganggalida,,,,gang1267,
gdh,Gadjerong,,,,gadj1243,
ggd,Galimbamu,,,,guga1239,
ggr,Aghu Tharnggalu,,,,aghu1254,
gia,Kwitj,,,,kitj1240,
gia-kul,Guluwarin,,,,,
glyn,Gulyan,,,,,
gma,Gamberre,,,,gamb1251,
gni,Goonien,,,,goon1238,
gnl,Gangulu,,,,gang1268,
gnn,Gumatj,,,,guma1253,
gnn-man,Mangalili,,,,,
gnr,Gooreng Gooreng,,,,gure1255,
gnr-goe,Goeng,,,,,
gue,Gurindji,,,,guri1247,
gue-mal,Malgin,,,,,
guf,Kupapuyngu,,,,gupa1247,
guf-gup,Kupapuyngu,,,,,
guf-mad,Madarrpa,,,,,
guf-man,Manggalili,,,,,
gunw,Gunwingguan Family,,,,,
gup,Mayali,,,,gunw1252,
gvn,Kuku-Yalanji,,,,kuku1273,
gvn-bid,Koko Bididji,,,,,
gvy,Kuyani,,,,guya1249,
gwu,Guwamu,,,,guwa1243,
gww,Gunin/Kwini,,,,kwin1241,
gyd,Kayardild,,,,kaya1319,
gyf,Gungabula,,,,gung1248,
gyy,Gunya,,,,guny1241,
ibd,Uwaidja,,,,iwai1244,
jao,Aniula,,,,yany1243,
jay,Yan-Nhangu,,,,yann1237,
jig,Jingulu,,,,djin1251,
jng,Yangman,,,,yang1288,
kany,Kanyara,,,,,
kard,Kartu,,,,,
kba,Kalarko,,,,kala1379,
kbe,Kaantyu,,,,kanj1260,
kda,Birrpayi,,,,wori1245,
kdd,Janggundjara,,,,yank1247,
kgl,Kunggari,,,,kung1258,
kgs,Coombyngura,,,,kumb1268,
king,Kingkel,,,,,
kjn,Kun'djan,,,,kunj1245,
kjn-oyk,Oykangand,,,,,
kkp,Kungkara,,,,gugu1254,
kky,Guguyimidjir,,,,gugu1255,
kld,Gamilaraay,,,,gami1243,
kld-koi,Koinberi,,,,,
kld-wer,Weraeria,,,,,
kld-yua,Ualari,,,,,
knya,Kanyara,,,,,
korn,Korni,,,,,
krna,Karna Subgroup,,,,,
ktd,Kokata,,,,koka1244,
ktg,Kalkutung,,,,kalk1246,
kuln,Kulin,,,,,
kuri,Kuri,,,,,
kux,Peedong,,,,kuka1246,
kvs,Kunggara,,,,kung1262,
lamc,Bay Pama Subgroup,,,,,
lby,Lamalama,,,,lamu1254,
lbz,Lardil,,,,lard1243,
lnj,Latarngit,,,,leni1238,
sju,Lappish-Swedish,,,,umes1235,
sma,Lappish-Swedish,,,,sout2674,
